Varying Metadata,Fixed Metadata,Group,Count
Species,"('A', 2, 'PFC', 5.0, 'M', 4.76)",Macaca fascicularis,252
Species,"('A', 2, 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,608
Species,"('A', 3, 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,420
Species,"('A', 3, 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,622
Species,"('A', 3, 'PFC', 7.4, 'M', 4.39)",Macaca fascicularis,984
Species,"('A', 3, 'V1', 8.7, 'M', 7.65)",Macaca fascicularis,3026
Species,"('A', 3, 'V1', 14.6, 'M', 12.14)",Macaca mulatta,1286
Species,"('A', 3, 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,6
Species,"('A', 4, 'PFC', 7.4, 'M', 4.39)",Macaca fascicularis,120
Species,"('A', 4, 'V1', 14.6, 'M', 12.14)",Macaca mulatta,146
Species,"('A', 4, 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,8
Species,"('A', '2_3', 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,624
Species,"('A', '5_6', 'LIP', 16.2, 'M', 14.38)",Macaca mulatta,1818
Species,"('A', '5_6', 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,2702
Species,"('A', '5_6', 'PFC', 7.4, 'M', 4.39)",Macaca fascicularis,108
Species,"('A', 'NA', 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,480
Species,"('NA', 3, 'V1', 14.6, 'M', 12.14)",Macaca mulatta,40
Species,"('NA', 3, 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,6
Species,"('NA', '5_6', 'PFC', 6.5, 'F', 11.58)",Macaca fascicularis,288
Species,"('NA', '5_6', 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,2
Species,"('NA', 'NA', 'LIP', 16.2, 'M', 14.38)",Macaca mulatta,4
Species,"('NA', 'NA', 'PFC', 5.0, 'M', 4.76)",Macaca fascicularis,44
Species,"('NA', 'NA', 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,2784
Species,"('NA', 'NA', 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,1668
Species,"('NA', 'NA', 'PFC', 6.5, 'F', 11.58)",Macaca fascicularis,2000
Species,"('NA', 'NA', 'PFC', 7.4, 'M', 4.39)",Macaca fascicularis,2444
Species,"('NA', 'NA', 'V1', 8.7, 'M', 7.65)",Macaca fascicularis,8
Species,"('NA', 'NA', 'V1', 14.6, 'M', 12.14)",Macaca mulatta,334
Species,"('NA', 'NA', 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,576
Species,"('S', 2, 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,206
Species,"('S', 2, 'PFC', 7.4, 'M', 4.39)",Macaca fascicularis,4
Species,"('S', 2, 'V1', 8.7, 'M', 7.65)",Macaca fascicularis,446
Species,"('S', 2, 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,136
Species,"('S', 3, 'LIP', 16.2, 'M', 14.38)",Macaca mulatta,602
Species,"('S', 3, 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,902
Species,"('S', 3, 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,842
Species,"('S', 3, 'V1', 8.7, 'M', 7.65)",Macaca fascicularis,1408
Species,"('S', 3, 'V1', 10.6, 'M', 12.69)",Macaca mulatta,74
Species,"('S', 3, 'V1', 14.6, 'M', 12.14)",Macaca mulatta,120
Species,"('S', 3, 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,60
Species,"('S', 4, 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,16
Species,"('S', 4, 'PFC', 6.3, 'F', 9.96)",Macaca fascicularis,384
Species,"('S', 4, 'V1', 8.7, 'M', 7.65)",Macaca fascicularis,462
Species,"('S', '2_3', 'V1', 14.6, 'M', 14.0)",Macaca fascicularis,270
Species,"('S', '5_6', 'PFC', 5.1, 'M', 5.11)",Macaca fascicularis,132
Species,"('S', '5_6', 'PFC', 6.5, 'F', 11.58)",Macaca fascicularis,384
