cell,cell_type,n_spikes,fs
1,PC,1700,50023.91875795
2,PC,849,50023.91258241
3,PC,675,50023.91669944
4,PC,1467,50023.91125908
5,PC,9472,50023.90743614
6,PC,9389,50023.89817284
7,IN,11997,50023.91361167
8,IN,4881,50023.90949465
10,PC,1066,50023.90023135
12,IN,7378,50023.89817284
13,PC,3532,50023.89817284
14,PC,6101,50023.89868747
15,PC,3182,50023.89405582
16,IN,9929,50023.90270156
19,PC,7475,50023.88376327
20,PC,365,50023.87964625
21,PC,12556,50023.89714358
22,IN,6841,50023.89474199
23,PC,757,50023.89199731
24,PC,5738,50023.89405582
25,PC,6470,50023.88942417
26,PC,5820,50023.88925263
27,PC,5477,50023.88788029
28,PC,2341,50023.87964625
29,PC,1131,50023.90640688
31,PC,1747,50023.89817284
32,PC,2887,50023.89611433
33,PC,3177,50023.89611433
34,PC,1548,50023.88170476
35,PC,656,50023.88788029
36,PC,3175,50023.88376327
37,PC,610,50023.88788029
38,PC,3794,50023.86935371
39,PC,313,50023.88170476
40,PC,2194,50023.87347073
41,PC,3189,50023.88170476
42,PC,828,50023.88170476
44,PC,2074,50023.87244147
45,PC,6759,50023.87347073
46,PC,6809,50023.87552924
