feature_clustered,groups,nRMSE,cos_sim,temporal_rho,temporal_p,cell
peak_amp,Low-High,0.118015,0.990629,-0.792831,0,1
peak_sharpness,Low-High,0.106572,0.995538,-0.627826,5.09842e-187,1
exp_lambda,Low-High,0.066868,0.990404,-0.529923,1.0418e-123,1
log_isi,Low-Mid,0.0538092,0.99884,0.318614,2.16598e-41,1
log_isi,Low-High,0.0494285,0.998279,0.318614,2.16598e-41,1
log_isi,Mid-High,0.00974457,0.999397,0.318614,2.16598e-41,1
exp_lambda,Low-High,0.0121419,0.996378,0.00476732,0.889684,2
peak_amp,Low-High,0.16849,0.999906,-0.724444,7.76283e-111,3
log_isi,Low-High,0.0827905,0.999148,0.193094,4.38785e-07,3
peak_amp,Low-High,0.131504,0.988221,0.860392,0,4
log_isi,Low-High,0.0954331,0.997832,-0.293386,1.71805e-30,4
inflection_time,Low-High,0.0363342,0.997693,0.34892,2.59876e-269,5
inflection_amp,Low-High,0.0263944,0.998905,0.170537,9.72494e-63,5
peak_amp,Low-High,0.0273552,0.998732,-0.227847,8.48545e-112,5
peak_width,Low-High,0.036701,0.997634,0.318397,3.98626e-222,5
peak_sharpness,Low-High,0.0137401,0.999696,-0.0970322,2.94474e-21,5
log_isi,Low-High,0.00359897,0.999988,0.00346297,0.73614,5
peak_width,Low-Mid,0.0496385,0.98008,0.823305,0,6
peak_width,Low-High,0.0809558,0.928943,0.823305,0,6
peak_width,Mid-High,0.0450593,0.980194,0.823305,0,6
exp_lambda,Low-High,0.0645123,0.953887,-0.628434,0,6
log_isi,Low-Mid,0.0299188,0.99304,0.0192849,0.0616968,6
log_isi,Low-High,0.0423038,0.980968,0.0192849,0.0616968,6
log_isi,Mid-High,0.022117,0.996254,0.0192849,0.0616968,6
peak_sharpness,Low-High,0.0324651,0.98865,-0.798375,0,7
log_isi,Low-High,0.0126843,0.998301,-0.175188,2.70739e-83,7
peak_width,Low-Mid,0.034711,0.995331,-0.211584,1.60794e-50,8
peak_width,Low-High,0.108787,0.936636,-0.211584,1.60794e-50,8
peak_width,Mid-High,0.0842652,0.961957,-0.211584,1.60794e-50,8
log_isi,Low-High,0.0221793,0.997503,0.0130451,0.362243,8
peak_amp,Low-Mid,0.0580463,0.978183,-0.733122,2.38995e-180,10
peak_amp,Low-High,0.0838241,0.935663,-0.733122,2.38995e-180,10
peak_amp,Mid-High,0.0405796,0.985932,-0.733122,2.38995e-180,10
log_isi,Low-Mid,0.0164201,0.997485,-0.0784842,0.0104004,10
log_isi,Low-High,0.0172658,0.997272,-0.0784842,0.0104004,10
log_isi,Mid-High,0.0091213,0.999275,-0.0784842,0.0104004,10
peak_width,Low-High,0.0181255,0.993711,0.287527,1.99695e-140,12
log_isi,Low-Mid,0.0100096,0.998044,-0.0595095,3.13894e-07,12
log_isi,Low-High,0.0106775,0.997605,-0.0595095,3.13894e-07,12
log_isi,Mid-High,0.00696662,0.999889,-0.0595095,3.13894e-07,12
log_isi,Low-Mid,0.00831422,0.999504,-0.0764081,5.48363e-06,13
log_isi,Low-High,0.0093347,0.999286,-0.0764081,5.48363e-06,13
log_isi,Mid-High,0.00338174,0.999891,-0.0764081,5.48363e-06,13
peak_sharpness,Low-High,0.0623559,0.976882,0.0111437,0.384151,14
log_isi,Low-Mid,0.0647583,0.967051,-0.255212,2.6159e-91,14
log_isi,Low-High,0.0400318,0.990237,-0.255212,2.6159e-91,14
log_isi,Mid-High,0.0380318,0.987785,-0.255212,2.6159e-91,14
log_isi,Low-Mid,0.0159515,0.995221,-0.0234723,0.185666,15
log_isi,Low-High,0.02018,0.993061,-0.0234723,0.185666,15
log_isi,Mid-High,0.00695478,0.999505,-0.0234723,0.185666,15
peak_sharpness,Low-High,0.0888533,0.941165,0.306554,2.14917e-162,19
exp_lambda,Low-High,0.109833,0.930036,-0.267464,1.22959e-122,19
log_isi,Low-High,0.0905979,0.945725,0.00595763,0.606574,19
peak_amp,Low-High,0.0382638,0.998007,0.479585,2.16191e-22,20
log_isi,Low-High,0.0297287,0.990912,-0.00717365,0.891509,20
peak_amp,Low-Mid,0.185069,0.873282,-0.236256,8.06368e-159,21
peak_amp,Low-High,0.238823,0.847745,-0.236256,8.06368e-159,21
peak_amp,Mid-High,0.110846,0.996948,-0.236256,8.06368e-159,21
peak_width,Low-Mid,0.0644909,0.96676,0.277642,5.34336e-221,21
peak_width,Low-High,0.242266,0.681504,0.277642,5.34336e-221,21
peak_width,Mid-High,0.241684,0.665171,0.277642,5.34336e-221,21
peak_sharpness,Low-High,0.223729,0.725904,-0.618369,0,21
inflection_time,Low-High,0.0806875,0.951853,0.718049,0,22
peak_width,Low-High,0.0819181,0.942724,0.841215,0,22
peak_sharpness,Low-High,0.0770293,0.949855,-0.735019,0,22
exp_lambda,Low-High,0.0749003,0.951527,0.753085,0,22
log_isi,Low-High,0.014354,0.99806,-0.0625997,2.20231e-07,22
peak_width,Low-High,0.0240276,0.99821,0.610912,1.2258e-78,23
log_isi,Low-High,0.00969852,0.999905,0.18831,1.83004e-07,23
peak_width,Low-High,0.133388,0.995651,-0.243626,2.64067e-78,24
log_isi,Low-Mid,0.0590034,0.986002,-0.219961,8.30249e-64,24
