cell_id,cell_type,patch_type,current_type
c1,PC,Juxta,IC
c2,PC,Juxta,VC
c3,PC,Juxta,IC
c4,PC,WC,IC
c5,PC,WC,IC
c6,PC,Juxta,VC
c7,IN,Juxta,IC
c8,IN,Juxta,IC
c10,PC,Juxta,VC
c12,IN,Juxta,VC
c13,PC,Juxta,VC
c14,PC,Juxta,VC
c15,PC,Juxta,VC
c16,IN,Juxta,VC
c17,PC,Juxta,VC
c18,IN,Juxta,VC
c19,PC,Juxta,VC
c20,PC,Juxta,VC
c21,PC,Juxta,IC
c22,IN,Juxta,VC
c23,PC,Juxta,IC
c24,PC,Juxta,VC
c25,PC,Juxta,VC
c26,PC,Juxta,VC
c27,PC,WC,IC
c28,PC,Juxta,VC
c29,PC,Juxta,VC
c31,PC,Juxta,VC
c32,PC,Juxta,VC
c33,PC,Juxta,IC
c34,PC,Juxta,IC
c35,PC,Juxta,VC
c36,PC,Juxta,VC
c37,PC,Juxta,VC
c38,PC,Juxta,VC
c39,PC,Juxta,VC
c40,PC,WC,IC
c41,PC,Juxta,VC
c42,PC,WC,IC
c43,PC,Juxta,VC
c44,PC,Juxta,VC
c45,PC,Juxta,VC
c46,PC,Juxta,VC
