Varying Metadata,Fixed Metadata,Varying Value,Count
dendriticType,"SomaLayerLoc=2, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",A,608
dendriticType,"SomaLayerLoc=2, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",S,206
dendriticType,"SomaLayerLoc=3, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",A,622
dendriticType,"SomaLayerLoc=3, brainOrigin=PFC, Sex=F, Age=9.96, Species=Macaca fascicularis",S,842
dendriticType,"SomaLayerLoc=3, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",A,420
dendriticType,"SomaLayerLoc=3, brainOrigin=PFC, Sex=M, Age=5.11, Species=Macaca fascicularis",S,902
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=7.65, Species=Macaca fascicularis",S,1408
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=7.65, Species=Macaca fascicularis",A,3026
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=12.14, Species=Macaca mulatta",A,1286
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=12.14, Species=Macaca mulatta",S,120
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=12.14, Species=Macaca mulatta",NA,40
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=14.0, Species=Macaca fascicularis",S,60
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=14.0, Species=Macaca fascicularis",A,6
dendriticType,"SomaLayerLoc=3, brainOrigin=V1, Sex=M, Age=14.0, Species=Macaca fascicularis",NA,6
dendriticType,"SomaLayerLoc=2_3, brainOrigin=V1, Sex=M, Age=14.0, Species=Macaca fascicularis",S,270
dendriticType,"SomaLayerLoc=2_3, brainOrigin=V1, Sex=M, Age=14.0, Species=Macaca fascicularis",A,624
